"","agegrp","cob","ethgrp","pop_EW","pop_E"
"219"," 50 to 54","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","98188","95727"
"220"," 50 to 54","Total: Country of birth","Asian/Asian British: Indian","82757","82049"
"221"," 50 to 54","Total: Country of birth","Asian/Asian British: Pakistani","41569","41005"
"222"," 50 to 54","Total: Country of birth","Asian/Asian British: Bangladeshi","13002","12648"
"223"," 50 to 54","Total: Country of birth","Asian/Asian British: Chinese","20014","19314"
"224"," 50 to 54","Total: Country of birth","Black/African/Caribbean/Black British","104540","103707"
"225"," 50 to 54","Born in UK or Rest of Europe","Total: Ethnic group","3234788","3039423"
"226"," 50 to 54","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","3168035","2974204"
"227"," 50 to 54","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","29471","28346"
"228"," 50 to 54","Born in UK or Rest of Europe","Asian/Asian British: Indian","4416","4359"
"229"," 50 to 54","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","1633","1605"
"230"," 50 to 54","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","437","417"
"231"," 50 to 54","Born in UK or Rest of Europe","Asian/Asian British: Chinese","869","810"
"232"," 50 to 54","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","29927","29682"
"233"," 50 to 54","Born outside the UK and Rest of Europe","Total: Ethnic group","366906","360672"
"234"," 50 to 54","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","73589","71441"
