"","year","sex","age","ETH.group","CoB","timeinUK(0,1]","pop"
"354",2011,"M",14,"OTH","UK born",NA,1762
"355",2011,"M",14,"PAK","Non-UK born",FALSE,1307
"356",2011,"M",14,"PAK","Non-UK born",TRUE,914
"357",2011,"M",14,"PAK","UK born",NA,7380
"358",2011,"M",14,"WBI+WHO","Non-UK born",FALSE,7198
"359",2011,"M",14,"WBI+WHO","Non-UK born",TRUE,1165
"360",2011,"M",14,"WBI+WHO","UK born",NA,259210
"361",2011,"M",15,"BAN","Non-UK born",FALSE,635
"362",2011,"M",15,"BAN","Non-UK born",TRUE,459
"363",2011,"M",15,"BAN","UK born",NA,3202
"364",2011,"M",15,"BLA+BLC+OBL","Non-UK born",FALSE,4211
"365",2011,"M",15,"BLA+BLC+OBL","Non-UK born",TRUE,1112
"366",2011,"M",15,"BLA+BLC+OBL","UK born",NA,9560
"367",2011,"M",15,"CHI+OAS","Non-UK born",FALSE,2766
"368",2011,"M",15,"CHI+OAS","Non-UK born",TRUE,1264
"369",2011,"M",15,"CHI+OAS","UK born",NA,3625
"370",2011,"M",15,"IND","Non-UK born",FALSE,1501
"371",2011,"M",15,"IND","Non-UK born",TRUE,787
"372",2011,"M",15,"IND","UK born",NA,5682
"373",2011,"M",15,"MIX","Non-UK born",FALSE,819
"374",2011,"M",15,"MIX","Non-UK born",TRUE,607
"375",2011,"M",15,"MIX","UK born",NA,11942
"376",2011,"M",15,"OTH","Non-UK born",FALSE,1274
"377",2011,"M",15,"OTH","Non-UK born",TRUE,559
"378",2011,"M",15,"OTH","UK born",NA,1711
"379",2011,"M",15,"PAK","Non-UK born",FALSE,1318
"380",2011,"M",15,"PAK","Non-UK born",TRUE,877
"381",2011,"M",15,"PAK","UK born",NA,7316
"382",2011,"M",15,"WBI+WHO","Non-UK born",FALSE,7299
"383",2011,"M",15,"WBI+WHO","Non-UK born",TRUE,1124
"384",2011,"M",15,"WBI+WHO","UK born",NA,261962
"385",2011,"M",16,"BAN","Non-UK born",FALSE,589
"386",2011,"M",16,"BAN","Non-UK born",TRUE,404
"387",2011,"M",16,"BAN","UK born",NA,2986
"388",2011,"M",16,"BLA+BLC+OBL","Non-UK born",FALSE,4044
"389",2011,"M",16,"BLA+BLC+OBL","Non-UK born",TRUE,1016
"390",2011,"M",16,"BLA+BLC+OBL","UK born",NA,9332
"391",2011,"M",16,"CHI+OAS","Non-UK born",FALSE,2975
"392",2011,"M",16,"CHI+OAS","Non-UK born",TRUE,1293
"393",2011,"M",16,"CHI+OAS","UK born",NA,3944
"394",2011,"M",16,"IND","Non-UK born",FALSE,1458
"395",2011,"M",16,"IND","Non-UK born",TRUE,728
"396",2011,"M",16,"IND","UK born",NA,5573
"397",2011,"M",16,"MIX","Non-UK born",FALSE,781
"398",2011,"M",16,"MIX","Non-UK born",TRUE,551
"399",2011,"M",16,"MIX","UK born",NA,11459
"400",2011,"M",16,"OTH","Non-UK born",FALSE,1415
"401",2011,"M",16,"OTH","Non-UK born",TRUE,592
"402",2011,"M",16,"OTH","UK born",NA,1924
"403",2011,"M",16,"PAK","Non-UK born",FALSE,1299
"404",2011,"M",16,"PAK","Non-UK born",TRUE,823
"405",2011,"M",16,"PAK","UK born",NA,7265
"406",2011,"M",16,"WBI+WHO","Non-UK born",FALSE,7144
"407",2011,"M",16,"WBI+WHO","Non-UK born",TRUE,1046
"408",2011,"M",16,"WBI+WHO","UK born",NA,261583
"409",2011,"M",17,"BAN","Non-UK born",FALSE,654
"410",2011,"M",17,"BAN","Non-UK born",TRUE,427
"411",2011,"M",17,"BAN","UK born",NA,2762
"412",2011,"M",17,"BLA+BLC+OBL","Non-UK born",FALSE,4553
"413",2011,"M",17,"BLA+BLC+OBL","Non-UK born",TRUE,1088
"414",2011,"M",17,"BLA+BLC+OBL","UK born",NA,8841
"415",2011,"M",17,"CHI+OAS","Non-UK born",FALSE,3740
"416",2011,"M",17,"CHI+OAS","Non-UK born",TRUE,1547
"417",2011,"M",17,"CHI+OAS","UK born",NA,4150
"418",2011,"M",17,"IND","Non-UK born",FALSE,1726
"419",2011,"M",17,"IND","Non-UK born",TRUE,820
"420",2011,"M",17,"IND","UK born",NA,5518
"421",2011,"M",17,"MIX","Non-UK born",FALSE,953
"422",2011,"M",17,"MIX","Non-UK born",TRUE,640
"423",2011,"M",17,"MIX","UK born",NA,11642
"424",2011,"M",17,"OTH","Non-UK born",FALSE,1623
"425",2011,"M",17,"OTH","Non-UK born",TRUE,645
"426",2011,"M",17,"OTH","UK born",NA,1848
"427",2011,"M",17,"PAK","Non-UK born",FALSE,1498
"428",2011,"M",17,"PAK","Non-UK born",TRUE,903
"429",2011,"M",17,"PAK","UK born",NA,6983
"430",2011,"M",17,"WBI+WHO","Non-UK born",FALSE,8738
"431",2011,"M",17,"WBI+WHO","Non-UK born",TRUE,1218
"432",2011,"M",17,"WBI+WHO","UK born",NA,270191
"433",2011,"M",18,"BAN","Non-UK born",FALSE,610
"434",2011,"M",18,"BAN","Non-UK born",TRUE,379
"435",2011,"M",18,"BAN","UK born",NA,2740
"436",2011,"M",18,"BLA+BLC+OBL","Non-UK born",FALSE,4237
"437",2011,"M",18,"BLA+BLC+OBL","Non-UK born",TRUE,964
"438",2011,"M",18,"BLA+BLC+OBL","UK born",NA,8844
"439",2011,"M",18,"CHI+OAS","Non-UK born",FALSE,3845
"440",2011,"M",18,"CHI+OAS","Non-UK born",TRUE,1513
"441",2011,"M",18,"CHI+OAS","UK born",NA,4563
"442",2011,"M",18,"IND","Non-UK born",FALSE,1769
"443",2011,"M",18,"IND","Non-UK born",TRUE,799
"444",2011,"M",18,"IND","UK born",NA,6036
"445",2011,"M",18,"MIX","Non-UK born",FALSE,838
"446",2011,"M",18,"MIX","Non-UK born",TRUE,535
"447",2011,"M",18,"MIX","UK born",NA,10887
"448",2011,"M",18,"OTH","Non-UK born",FALSE,1612
"449",2011,"M",18,"OTH","Non-UK born",TRUE,610
"450",2011,"M",18,"OTH","UK born",NA,1964
